Chip Run Info,Z:\Projects\Reprogramming\Fluidigm Projects\BioMark Data\BioMark Data\BJ Monocistronic\Combined Chip Run BJ Monocistronic\ChipRun.bml,Combined Chip Run,96.96 (136x),GE 96x96 Fast v2,ROX,FAM-MGB,8/4/2014 4:56:26 PM,00:24:51,BIOMARKHD227
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.4
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,User
Chamber,Sample,Sample,Sample,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,Comments
S006-A26,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,JMJD3,Test,999,0,Fail,0.00740197595583316,
S006-A27,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,RNF2,Test,16.2370961665151,1,Pass,0.00740197595583316,
S006-A28,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,LATS2,Test,999,0,Fail,0.00740197595583316,
S006-A29,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,T,Test,999,0,Fail,0.00740197595583316,
S006-A30,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,FGF2,Test,999,0,Fail,0.00740197595583316,
S006-A31,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,LCK,Test,999,0,Fail,0.00740197595583316,
S006-A32,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,KLF5,Test,17.7387290904286,0.989089425595928,Pass,0.00740197595583316,
S006-A33,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,KLF4,Test,999,0,Fail,0.00740197595583316,
S006-A34,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,NACC1,Test,999,0,Fail,0.00740197595583316,
S006-A35,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,FBXO15,Test,999,0,Fail,0.00740197595583316,
S006-A36,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,CD4,Test,999,0,Fail,0.00740197595583316,
S006-A37,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,DNMT3L,Test,999,0,Fail,0.00740197595583316,
S006-A38,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,EZH2,Test,999,0,Fail,0.00740197595583316,
S006-A39,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,EED,Test,999,0,Fail,0.00740197595583316,
S006-A40,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,SMARCC2,Test,999,0,Fail,0.00740197595583316,
S006-A41,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,MyoD1,Test,999,0,Fail,0.00740197595583316,
S006-A42,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,NODAL,Test,999,0,Fail,0.00740197595583316,
S006-A43,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,CDH1,Test,13.262616218967,1,Pass,0.00740197595583316,
S006-A44,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,DPPA4,Test,999,0,Fail,0.00740197595583316,
S006-A45,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,LEFTY2,Test,999,0,Fail,0.00740197595583316,
S006-A46,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,RIF1,Test,999,0,Fail,0.00740197595583316,
S006-A47,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,ETV5,Test,999,0,Fail,0.00740197595583316,
S006-A48,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,CD3D,Test,999,0,Fail,0.00740197595583316,
S006-A54,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,Wnt3,Test,999,0,Fail,0.00740197595583316,
S006-A53,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,Sox1,Test,999,0,Fail,0.00740197595583316,
S006-A52,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,LOX,Test,13.4128556458104,1,Pass,0.00740197595583316,
